,country,resort,hotel,price,distance_from_lift_(m),altitude (m),totalPiste (km),totalLifts,gondolas,chairlifts,draglifts,blues,reds,blacks,totalRuns,link,sleeps,decSnowLow2020(cm),decSnowHigh2020(cm),janSnowLow2020(cm),janSnowHigh2020(cm),febSnowLow2020(cm),febSnowHigh2020(cm)
372,austria,solden,hotel-tyrolerhof,1577,unknown,1350,146,33,8,16,9,20.0,12.0,8.0,40.0,https://www.igluski.com/ski-resorts/austria/solden/hotel-tyrolerhof_2918?holidayId=58493676,180,5,263,15,306,15,362
373,france,tignes-le-lac,village-montana-hotel,1586,50,2100,300,89,10,45,34,83.0,46.0,25.0,154.0,https://www.igluski.com/ski-resorts/france/tignes-le-lac/village-montana-hotel_34992?holidayId=58208730,164,unknown,unknown,unknown,unknown,unknown,unknown
374,austria,kaprun,tauern-spa-hotel,1597,800,775,132,56,12,17,27,31.0,19.0,9.0,59.0,https://www.igluski.com/ski-resorts/austria/kaprun/tauern-spa-hotel_30819?holidayId=58350697,320,0,130,33,188,39,235
375,austria,saalbach,alpinresort-sport--spa,1611,200,1003,270,70,28,22,20,140.0,110.0,20.0,270.0,https://www.igluski.com/ski-resorts/austria/saalbach/alpinresort-sport--spa_34759?holidayId=58211075,180,5,50,50,133,46,140
376,france,les-menuires,hotel-ours-blanc,1636,unknown,1815,600,183,40,69,74,183.0,106.0,32.0,321.0,https://www.igluski.com/ski-resorts/france/les-menuires/hotel-ours-blanc_36668?holidayId=58510981,unknown,98,121,215,267,207,269
377,austria,obergurgl,hotel-gurglhof,1637,50,1930,110,24,3,12,9,16.0,18.0,6.0,40.0,https://www.igluski.com/ski-resorts/austria/obergurgl/hotel-gurglhof_39304?holidayId=58207032,120,100,185,69,143,60,133
378,austria,obergurgl,hotel-alpina,1649,200,1930,110,24,3,12,9,16.0,18.0,6.0,40.0,https://www.igluski.com/ski-resorts/austria/obergurgl/hotel-alpina_2128?holidayId=58206702,160,100,185,69,143,60,133
379,austria,obergurgl,hotel-bergwelt,1673,300,1930,110,24,3,12,9,16.0,18.0,6.0,40.0,https://www.igluski.com/ski-resorts/austria/obergurgl/hotel-bergwelt_2122?holidayId=58201211,150,100,185,69,143,60,133
380,italy,selva-val-gardena,aaritz-hotel,1677,50,1563,175,81,9,41,31,32.0,23.0,4.0,59.0,https://www.igluski.com/ski-resorts/italy/selva-val-gardena/aaritz-hotel_4984?holidayId=58526173,74,72,165,50,150,49,149
381,austria,zell-am-see,hotel-salzburgerhof,1691,400,758,136,55,13,18,24,31.0,19.0,9.0,59.0,https://www.igluski.com/ski-resorts/austria/zell-am-see/hotel-salzburgerhof_32249?holidayId=58209657,136,0,58,43,147,46,150
382,austria,kitzbuhel,hotel-erika,1712,unknown,760,185,61,11,27,15,29.0,27.0,11.0,67.0,https://www.igluski.com/ski-resorts/austria/kitzbuhel/hotel-erika_22597?holidayId=58462785,96,unknown,unknown,unknown,unknown,unknown,unknown
383,austria,saalbach,hotel-eva-village,1715,unknown,1003,270,70,28,22,20,140.0,110.0,20.0,270.0,https://www.igluski.com/ski-resorts/austria/saalbach/hotel-eva-village_4357?holidayId=58209372,142,5,50,50,133,46,140
384,austria,obergurgl,hotel-crystal-vaya-unique,1749,unknown,1930,110,24,3,12,9,16.0,18.0,6.0,40.0,https://www.igluski.com/ski-resorts/austria/obergurgl/hotel-crystal-vaya-unique_2124?holidayId=58203113,200,100,185,69,143,60,133
385,austria,hochgurgl,hotel-riml,1755,50,2150,0,0,0,0,0,0.0,0.0,0.0,0.0,https://www.igluski.com/ski-resorts/austria/hochgurgl/hotel-riml_20333?holidayId=58210561,198,100,185,69,143,60,133
386,france,courchevel-1650,ecrin-blanc,1775,50,1650,150,67,12,17,29,27.0,82.0,10.0,119.0,https://www.igluski.com/ski-resorts/france/courchevel-1650/ecrin-blanc_39269?holidayId=58475948,300,unknown,unknown,unknown,unknown,unknown,unknown
387,austria,solden,hotel-bergland,1798,unknown,1350,146,33,8,16,9,20.0,12.0,8.0,40.0,https://www.igluski.com/ski-resorts/austria/solden/hotel-bergland_7213?holidayId=58209648,178,5,263,15,306,15,362
388,austria,st-christoph,hotel-maiensee,1822,20,1304,348,97,13,50,34,85.0,129.0,34.0,248.0,https://www.igluski.com/ski-resorts/austria/st-christoph/hotel-maiensee_26237?holidayId=58208346,unknown,35,45,110,138,102,168
389,andorra,soldeu,sporthotel-hermitage,1824,200,1800,210,67,4,32,26,63.0,38.0,22.0,123.0,https://www.igluski.com/ski-resorts/andorra/soldeu/sporthotel-hermitage_20506?holidayId=58448964,240,unknown,unknown,unknown,unknown,unknown,unknown
390,austria,lech,hotel-gotthard,1825,unknown,1450,305,85,10,39,36,34.0,70.0,30.0,134.0,https://www.igluski.com/ski-resorts/austria/lech/hotel-gotthard_2099?holidayId=58205854,112,35,45,110,138,102,168
391,france,alpe-d-huez,hotel-les-grandes-rousses,1830,150,1850,249,82,15,23,41,23.0,74.0,38.0,135.0,https://www.igluski.com/ski-resorts/france/alpe-d-huez/hotel-les-grandes-rousses_25914?holidayId=58205475,104,71,120,151,276,141,241
392,france,val-d-isere,hotel-l-aigle-des-neiges,1832,250,1850,300,89,10,45,34,83.0,46.0,25.0,154.0,https://www.igluski.com/ski-resorts/france/val-d-isere/hotel-l-aigle-des-neiges_22015?holidayId=58460435,176,75,165,185,233,191,242
393,austria,st-anton,anthonys-hotel,1866,100,1304,305,88,15,45,28,130.0,123.0,51.0,304.0,https://www.igluski.com/ski-resorts/austria/st-anton/anthonys-hotel_32811?holidayId=58207725,unknown,35,45,110,138,102,168
